"Client_num";"Client_nom";"Client_prenom";"Client_tel";"Client_email";"Client_sexe";"Client_pseudo";"Client_news";"Client_mdp";"Client_cp";"Client_adresse";"Coeff_num";"Commercial_num"
"1";"Acton";"Hop";"07 84 87 21 37";"imperdiet.nec@yahoo.ca";"False";"Mark";"false";"XWX38OWU5CU";"85176";"P.O. Box 542, 5069 Ante Ave";"1";"4"
"2";"Dieter";"Lucy";"04 27 74 52 68";"rhoncus.nullam@outlook.edu";"True";"Damian";"false";"ONJ49KJS4QC";"26386";"Ap #834-4354 Purus, Avenue";"1";"6"
"3";"Travis";"Maryam";"02 29 36 29 73";"ut@yahoo.couk";"True";"Julie";"false";"TUN69KCO2QY";"86565";"806-2788 Quisque Street";"1";"2"
"4";"Brett";"Lee";"05 59 58 72 11";"lacus.cras@hotmail.edu";"False";"Levi";"true";"HEO84SZP2QR";"67179";"P.O. Box 814, 6797 Enim. St.";"2";"2"
"5";"Rina";"Bruno";"07 24 16 73 60";"nunc.quisque@aol.edu";"True";"Ezekiel";"true";"ZNM70HRD5TB";"20662";"P.O. Box 563, 9131 Lectus Avenue";"2";"2"
"6";"Victor";"Cecilia";"04 24 85 57 06";"cubilia.curae.phasellus@protonmail.ca";"True";"Christen";"true";"ULX82MEU3XO";"42476";"9823 Eu Road";"1";"6"
"7";"Victor";"Keiko";"03 40 43 21 01";"ligula.consectetuer.rhoncus@icloud.com";"True";"Robin";"false";"PLR29ZUV1YD";"73300";"427 Mauris Rd.";"1";"4"
"8";"Wynter";"Jayme";"07 64 20 55 64";"scelerisque.neque@yahoo.org";"False";"Laura";"false";"WBD30RVT0HE";"50590";"P.O. Box 175, 9415 Facilisis Street";"2";"7"
"9";"Eve";"Eagan";"06 79 44 14 23";"metus.vivamus@icloud.ca";"True";"Damian";"false";"BBK13CRE9QT";"68091";"789-1886 Aliquam, Av.";"2";"4"
"10";"Carla";"Tashya";"06 16 44 01 34";"erat@yahoo.edu";"True";"Isadora";"true";"ZGD65KAB2TO";"85170";"Ap #520-4339 Ultrices Ave";"1";"7"
"11";"Melissa";"Kyla";"07 97 67 88 56";"arcu.vestibulum.ante@protonmail.couk";"True";"Armando";"true";"RCT28HYJ3WQ";"19896";"P.O. Box 330, 9300 Enim, Rd.";"2";"2"
"12";"Keegan";"Gwendolyn";"05 66 34 31 48";"nulla.tincidunt@protonmail.ca";"False";"Rebecca";"true";"VLS19FEE3TB";"68227";"101-4948 Libero Street";"1";"2"
"13";"Jana";"Odessa";"01 75 26 47 25";"sed.dictum.eleifend@outlook.edu";"True";"Hedley";"false";"MJC74TND1JV";"78923";"7714 Sed Av.";"1";"4"
"14";"Kerry";"Marcia";"02 34 25 72 30";"elit.dictum@hotmail.com";"False";"Denton";"true";"QSA17BOS3KB";"52244";"Ap #954-5900 Morbi Avenue";"2";"7"
"15";"Caryn";"Fulton";"07 76 09 88 66";"iaculis.enim@aol.couk";"False";"Finn";"true";"ORZ44DDC8JM";"77361";"Ap #227-7295 Lectus Rd.";"2";"2"
"16";"Rogan";"Guinevere";"02 71 51 92 21";"purus.in.molestie@aol.edu";"True";"Paula";"true";"JEP95NXI2PB";"54280";"Ap #736-6258 Orci St.";"2";"4"
"17";"Clementine";"Lee";"06 71 71 65 51";"risus@aol.couk";"True";"Noelani";"true";"WIP34MFB9HN";"29957";"665-2400 Quisque Avenue";"2";"5"
"18";"Elvis";"Melanie";"07 70 87 54 20";"aliquam.erat@protonmail.net";"False";"Unity";"false";"MES49DPW3HC";"45951";"901-7173 Eros Rd.";"1";"3"
"19";"Plato";"Tyrone";"05 52 88 24 64";"justo.faucibus.lectus@google.org";"False";"Eliana";"false";"IOC92QLC7ND";"55115";"Ap #450-1453 Sit Road";"1";"3"
"20";"Morgan";"Philip";"02 36 56 82 54";"lacus@protonmail.net";"False";"Melinda";"true";"IHM25TUH2ON";"56173";"335-8741 Dolor Rd.";"2";"6"
"21";"Aristotle";"Berk";"03 67 58 85 69";"dui.suspendisse@hotmail.com";"True";"Sylvia";"true";"CDB51HQG6HJ";"46667";"P.O. Box 942, 3687 Dis Avenue";"2";"2"
"22";"Naida";"Quinn";"03 35 26 82 14";"magna.duis@hotmail.net";"True";"Fitzgerald";"true";"KQF17FCS7IQ";"66972";"928-5259 Lacus. Rd.";"2";"7"
"23";"Kieran";"Neil";"05 62 45 21 16";"nulla.semper@google.couk";"False";"Samson";"true";"OKG75PFG9NB";"92761";"358-455 Eros St.";"1";"3"
"24";"Alma";"Vaughan";"03 53 43 45 56";"pede@aol.com";"True";"Aphrodite";"false";"XPZ74GEA1WW";"81813";"Ap #837-6860 Urna. Avenue";"1";"3"
"25";"Miranda";"Garth";"09 97 95 34 15";"donec.dignissim@google.org";"True";"Bell";"false";"UHK80XDZ6LH";"32291";"Ap #223-3106 Tincidunt Road";"1";"7"
"26";"Ethan";"Pandora";"07 57 41 04 73";"malesuada@protonmail.couk";"True";"Katell";"false";"NJB44GXT6FT";"79460";"649-2111 Quam. Road";"2";"3"
"27";"Emerson";"Cynthia";"07 26 76 20 34";"nunc@hotmail.edu";"True";"Tanner";"true";"OXO16JJG6LJ";"76885";"P.O. Box 212, 7854 Semper Avenue";"2";"4"
"28";"Channing";"Barry";"03 28 23 53 64";"pede.praesent.eu@icloud.ca";"True";"Deacon";"false";"GUG64TBG7JX";"87904";"P.O. Box 520, 2785 Venenatis Av.";"1";"2"
"29";"Edan";"Baxter";"06 25 59 18 73";"magnis.dis.parturient@hotmail.com";"True";"Warren";"true";"YBV06WWB3YK";"57233";"Ap #313-9301 Cum Rd.";"2";"3"
"30";"Jacob";"Carl";"05 92 05 75 34";"magna@yahoo.couk";"True";"Craig";"true";"RXM30PEE0UV";"10980";"637 Nunc Avenue";"2";"1"
"31";"Neil";"Azalia";"05 14 45 30 22";"nibh.lacinia@google.org";"False";"Marcia";"false";"IXB35PHQ3NK";"35912";"402-5297 Vulputate, St.";"2";"6"
"32";"Kellie";"Paki";"06 75 17 62 80";"nec.orci@hotmail.ca";"False";"Ebony";"false";"COT21RNO3PY";"73938";"203-3959 Vitae St.";"1";"2"
"33";"Maisie";"Rhoda";"05 40 41 67 37";"egestas@icloud.ca";"True";"Damian";"false";"LFW65OPR3BI";"45681";"901-9661 Magna, Av.";"2";"3"
"34";"Phelan";"Kamal";"08 77 46 31 45";"nec.tellus@google.ca";"False";"Cullen";"false";"YYD71CRM5BN";"28859";"7379 Malesuada. Av.";"2";"2"
"35";"Stewart";"Galena";"05 17 94 39 74";"tortor.at@protonmail.org";"False";"Dante";"true";"CVM11NOJ6ED";"80246";"Ap #751-2842 Lacinia St.";"1";"2"
"36";"Barclay";"Gail";"02 11 98 40 33";"vel.arcu@outlook.ca";"True";"Kirk";"true";"VDB67KXP5EO";"58920";"3460 Nec Rd.";"1";"2"
"37";"Joshua";"Shellie";"06 88 73 52 66";"lacus.quisque@aol.net";"True";"Travis";"true";"QAW21UIU0BL";"82649";"P.O. Box 532, 5715 Vivamus Avenue";"2";"4"
"38";"Orli";"Elmo";"07 47 20 45 84";"cras@google.org";"True";"Piper";"false";"EPL53ESM6OV";"49252";"549-8535 Hendrerit Av.";"2";"4"
"39";"Stuart";"Cynthia";"04 27 49 65 76";"nec.ante@hotmail.edu";"True";"Jena";"false";"ROQ16SBS8QF";"77379";"155-8603 Quis St.";"1";"3"
"40";"Craig";"Aristotle";"05 15 48 81 67";"tincidunt@protonmail.couk";"False";"Marvin";"false";"FOQ74AXP2VV";"21919";"Ap #190-3187 Maecenas St.";"1";"1"
"41";"Fritz";"Elvis";"02 11 46 88 84";"cursus.integer@aol.org";"True";"Brittany";"false";"CQR27HOX4FT";"29286";"8763 Risus Rd.";"2";"3"
"42";"Hamish";"Pamela";"04 64 56 04 42";"mollis.lectus.pede@google.org";"False";"Kiayada";"true";"ZBJ29PEO3ZM";"72545";"Ap #627-6790 Cras Rd.";"2";"4"
